
風雲央衛頻道,#genre#
TVB娱乐新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/3598ddf579ae506d9018d683b2aa11d5/master.m3u8
TVB 亚洲剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/c1bc67ae37466d6ee670ff2b119867ed/master.m3u8
TVB 华语剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/6fc002d175b34516d29f843a125f2cae/master.m3u8
viu6tv,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/43973ad15735334311457919c5180b24/master.m3u8
viutv,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/c023187e5a2cac2dc9defbb158ad2072/master.m3u8
NOW财经,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/519d40a414fc0bf7d6d69b48e05af00e/master.m3u8
NOW直播,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/18737af27537a81c06079c3fb00b8eb6/master.m3u8
NOW新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b4d469920c01b08a3b76e30de55df4e3/master.m3u8
Now 爆谷星影台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/57a965e0eaeeecdc9183548b26125320/master.m3u8
Now 爆谷台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b3d36af7a37565a65b0f01b73a8ed615/master.m3u8
Now Sports Prime,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/8de4698ce5a3b019dc8f8b7e8a2435d1/master.m3u8
NOW华剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/92c08a1e69d56e85fde2eb0f245b6843/master.m3u8
RTHK31,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/e48c6e66705ee6d3d9a66e7f303d805a/master.m3u8
RTHK32,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d3fd85166b5abb79502d872ec49b1f61/master.m3u8
RTHK33,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/43630e3fe51b9f7348ff8b7232179fce/master.m3u8
凤凰资讯台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b52ed95ecc9995cb7a418061040c740f/master.m3u8
凤凰中文台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/9936695abc4b24ad02c83f4a41796871/master.m3u8
凤凰香港,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/aff37a7016d2f0ae2cab0c213a506bc0/master.m3u8
有线18台赛马-,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/c2091359e2dc48a979fbd1392075931e/master.m3u8
美亚电影(香港),http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d30d344916733261d6a4040db8783b93/master.m3u8
台湾 Taiwan,#genre#
华视,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d392344d671b30ab189c476f3b624657/master.m3u8
民视,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/9821d7dcc39c147e2f0045cc4e738da3/master.m3u8
公视,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/bebf62b8f36e15e5e06b473af9c5ec11/master.m3u8
台视,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d181f395c08762c19595c36cd5e09e2f/master.m3u8
中视,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d802e34857bc3d70332f3943b40187d4/master.m3u8
中视经典,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/e2837270f3d2921efdb14e7fd829d101/master.m3u8
民视台湾台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/cd253b8647c094683eaf22d5e615a52c/master.m3u8
东森新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d0a3571185b4842894e6f8f42f29db40/master.m3u8
东森戏剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/6b1ff746f765a163099c71d0681f42e3/master.m3u8
东森电影,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/43d802c11cd88f666d30fe43e1da7481/master.m3u8
东森幼幼,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/1f2c63fbb15a50060ad3618ab2f0fc14/master.m3u8
东森洋片,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/4317e91342884a5d47b1850d1d5c3a87/master.m3u8
东森综合,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/1a5ef09d70c368daebc9b8168fb7488d/master.m3u8
中天新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/895295ca4e995d3e3145bde94bfcd07c/master.m3u8
中天综合,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d0d2ddd39deb23017e3f9042d82a6610/master.m3u8
中天娱乐,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/49c038c62b35cb8770f4e822f5c5c274/master.m3u8
TVBS,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/455473817406ed73cc2380985faa0089/master.m3u8
TVBS欢乐台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/588a30ab3ea51c5d1115b31f7bd184ca/master.m3u8
TVBS新闻台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/6cbccb1d36d4376365fd0f8cf81cf7ed/master.m3u8
八大第一,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/79c7f8374ac31ebe8db8767247903099/master.m3u8
八大戏剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b78a3c41fe39bee408da970c3dab75b7/master.m3u8
八大娱乐,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/25ef7fc0160c1dd4158c174f05395f67/master.m3u8
八大综合,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/ae1cdc3692d1462b133e55c0034792f1/master.m3u8
美亚电影,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/93c119d489c484b7282d0cab91aef5f3/master.m3u8
寰宇台湾,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/e99bfe74501cde7bf46093f05c9c8aff/master.m3u8
寰宇新闻台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/9591ca3aabb1d296635a42c40e9f2d56/master.m3u8
三立台湾,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/388bdc6980806a132b7fc0bed6fa0b11/master.m3u8
三立新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/a70c21cc5c2e3448fb8a94dcdae2b202/master.m3u8
三立都会,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/91d26119dcb5aa1fc3c0b209e31ac776/master.m3u8
三立戏剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/a674b491a681df34ac9a6f41c68502db/master.m3u8
三立综合,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/dc5d48ba342c41c4063a48d730fa102c/master.m3u8
HBO,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/509e5f41146e278f9eab1ddaceb34515/master.m3u8
HBO HITS,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/dfb3fea14a053f293dedff6045f1dd4d/master.m3u8
HBO Signature,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/a42674dcc0ef7cae6e9c4916951aa1d3/master.m3u8
靖天国际,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/183a114115fdf2cb54eda5455dc4f924/master.m3u8
靖天日本,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/ccc494fbbbf9a526ffe5dfa40aa86e1d/master.m3u8
靖天戏剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b6470a7ab9d3bcd9a1a13ef33128abb1/master.m3u8
靖天资讯,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/9a9d02e52f85a43b61e27895f74cfae5/master.m3u8
靖天卡通,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/7121f93baf03c143dc88fcbe35b332e3/master.m3u8
纬来育乐,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/c8d3f82e1261e052f893792c1ca5bc5e/master.m3u8
纬来日本,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/4b3c4af56cb272771e374711c3e09723/master.m3u8
纬来综合,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/0c612b40ffe8f403e45615d7fbe8d046/master.m3u8
纬来体育,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/269103c10592f5007fd28c4f1b96c1d3/master.m3u8
纬来电影,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/3907d5b3358742872aefb3628a35892b/master.m3u8
纬来戏剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/ccf1177fd690fab1996138027b764720/master.m3u8
非凡新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/edc06c9faf4129ddc404e083570eed01/master.m3u8
非凡商业,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/8bb0e729b98e41cd23acbaea392eae1e/master.m3u8
动物星球,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/fbf394f73053ccadb3380822eed14ff7/master.m3u8
年代新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d0d702900f230e6408b265be106cf48e/master.m3u8
年代MUCH,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/bc8eae8273ead0ef2afd1eaff4caf341/master.m3u8
壹新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b603e6fd37bce585b137c94ee73f88ac/master.m3u8
爱尔达体育1,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/707eb6ef051ec10020b4be99d26007d9/master.m3u8
爱尔达体育2,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/df8d4898ccf64ad6b4ebdcf08fb3b6ae/master.m3u8
爱尔达体育3,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/ebcca025996ec36d1fe8e0c67d143286/master.m3u8
爱尔达体育4,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/a6e61face00c3f1fde5cedf6ffac34b1/master.m3u8
爱尔达影剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/c3e24fec0b308a20645d99490ec3265c/master.m3u8
爱尔达综合,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/acc6feb10ff8c744e2c07bc92c8f6748/master.m3u8
博斯运动 1,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/5239aa671b96a7be19e46cc1ba21cc9d/master.m3u8
博斯运动 2,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/50a12156b2ad4f7d3af2141996ae9f01/master.m3u8
博斯无限,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/c8379752b30b5c9634b92cf94b0b76ee/master.m3u8
博斯网球,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/a946262f18af2efe65dccf7736230eda/master.m3u8
龙华洋片,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b38a31f277abf41c1b851725876391a4/master.m3u8
龙华偶像,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/aaa7ff9ae18318109a88b0bc276fb7ee/master.m3u8
龙华戏剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/5278c687d0e3b339c4c7fbe918a03815/master.m3u8
龙华影剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/403dad69037655b3447a2fe8d57f4618/master.m3u8
龙华电影,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/3169ea33994439bc12897805855bc9c7/master.m3u8
龙华动画,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/6315e6a4ab9277b61c1aa0a489343950/master.m3u8
eye旅游,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/00621226ded31acd1367945fb27f1054/master.m3u8
eye戏剧,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b5174ce39afdeaa18c87898df4b48598/master.m3u8
美食星球,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/d8addab13f0194673777b66628b99461/master.m3u8
霹雳台湾,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/755c439733ff9fae710503c8367aba1e/master.m3u8
JET综合,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/987195d30fe63a6a21d1cde2cbbf6884/master.m3u8
好莱坞电影,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/5b21536759ef8ccdc013159736dd2442/master.m3u8
TLC,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/e12a8b6e18ee3d67dc8153f4f4713a40/master.m3u8
探索发现,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/be2aec6140414678322bbd6aebff364e/master.m3u8
CATCHPLAY,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/c78a19dcc0c8cee112d31e49a2f4ea4f/master.m3u8
