央视,#genre#
江苏新闻,http://iptv.cqshushu.com/migu.php?pid=jsxw&token=6d11ce59dc456c34867bdc430f916136
江苏国际,http://iptv.cqshushu.com/migu.php?pid=jsgj&token=6d11ce59dc456c34867bdc430f916136
江苏综艺,http://iptv.cqshushu.com/migu.php?pid=jszy&token=6d11ce59dc456c34867bdc430f916136
江苏影视,http://iptv.cqshushu.com/migu.php?pid=jsys&token=6d11ce59dc456c34867bdc430f916136
江苏教育,http://iptv.cqshushu.com/migu.php?pid=jsjy&token=6d11ce59dc456c34867bdc430f916136
江苏体育,http://iptv.cqshushu.com/migu.php?pid=jsty&token=6d11ce59dc456c34867bdc430f916136
南京新闻综合,http://iptv.cqshushu.com/migu.php?pid=njzh&token=6d11ce59dc456c34867bdc430f916136
南京教科,http://iptv.cqshushu.com/migu.php?pid=njkj&token=6d11ce59dc456c34867bdc430f916136
南京十八,http://iptv.cqshushu.com/migu.php?pid=njsb&token=6d11ce59dc456c34867bdc430f916136
盐城新闻综合,http://iptv.cqshushu.com/migu.php?pid=yczh&token=6d11ce59dc456c34867bdc430f916136
淮安新闻综合,http://iptv.cqshushu.com/migu.php?pid=hazh&token=6d11ce59dc456c34867bdc430f916136
泰州新闻综合,http://iptv.cqshushu.com/migu.php?pid=tzzh&token=6d11ce59dc456c34867bdc430f916136
连云港新闻综合,http://iptv.cqshushu.com/migu.php?pid=lygzh&token=6d11ce59dc456c34867bdc430f916136
宿迁新闻综合,http://iptv.cqshushu.com/migu.php?pid=sqzh&token=6d11ce59dc456c34867bdc430f916136
徐州新闻综合,http://iptv.cqshushu.com/migu.php?pid=xzzh&token=6d11ce59dc456c34867bdc430f916136
江阴新闻综合,http://iptv.cqshushu.com/migu.php?pid=jyzh&token=6d11ce59dc456c34867bdc430f916136
南通新闻综合,http://iptv.cqshushu.com/migu.php?pid=ntzh&token=6d11ce59dc456c34867bdc430f916136
宜兴新闻综合,http://iptv.cqshushu.com/migu.php?pid=yxzh&token=6d11ce59dc456c34867bdc430f916136
溧水新闻综合,http://iptv.cqshushu.com/migu.php?pid=lszh&token=6d11ce59dc456c34867bdc430f916136
陕西银龄频道,http://iptv.cqshushu.com/migu.php?pid=sxyl&token=6d11ce59dc456c34867bdc430f916136
陕西都市青春频道,http://iptv.cqshushu.com/migu.php?pid=sxds&token=6d11ce59dc456c34867bdc430f916136
陕西秦腔频道,http://iptv.cqshushu.com/migu.php?pid=sxqq&token=6d11ce59dc456c34867bdc430f916136
陕西新闻资讯频道,http://iptv.cqshushu.com/migu.php?pid=sxxwzh&token=6d11ce59dc456c34867bdc430f916136

广东,#genre#
广东卫视,http://iptv.cqshushu.com/gddf.php?id=gdws&token=6d11ce59dc456c34867bdc430f916136
广东珠江,http://iptv.cqshushu.com/gddf.php?id=gdzj&token=6d11ce59dc456c34867bdc430f916136
广东体育,http://iptv.cqshushu.com/gddf.php?id=gdty&token=6d11ce59dc456c34867bdc430f916136
大湾区卫视,http://iptv.cqshushu.com/gddf.php?id=dwqws1&token=6d11ce59dc456c34867bdc430f916136
大湾区卫视(海外),http://iptv.cqshushu.com/gddf.php?id=dwqws2&token=6d11ce59dc456c34867bdc430f916136
广东影视,http://iptv.cqshushu.com/gddf.php?id=gdys&token=6d11ce59dc456c34867bdc430f916136
广东4K,http://iptv.cqshushu.com/gddf.php?id=gd4k&token=6d11ce59dc456c34867bdc430f916136
岭南戏曲,http://iptv.cqshushu.com/gddf.php?id=lnxq&token=6d11ce59dc456c34867bdc430f916136
广东移动,http://iptv.cqshushu.com/gddf.php?id=gdyd&token=6d11ce59dc456c34867bdc430f916136
广东少儿,http://iptv.cqshushu.com/gddf.php?id=gdse&token=6d11ce59dc456c34867bdc430f916136
嘉佳卡通,http://iptv.cqshushu.com/gddf.php?id=jjkt&token=6d11ce59dc456c34867bdc430f916136
广州综合,http://iptv.cqshushu.com/gddf.php?id=gzzh&token=6d11ce59dc456c34867bdc430f916136
广州新闻,http://iptv.cqshushu.com/gddf.php?id=gzxw&token=6d11ce59dc456c34867bdc430f916136
广州法治,http://iptv.cqshushu.com/gddf.php?id=gzfz&token=6d11ce59dc456c34867bdc430f916136
4K南国都市,http://iptv.cqshushu.com/gddf.php?id=ngds&token=6d11ce59dc456c34867bdc430f916136
番禺综合,http://iptv.cqshushu.com/gddf.php?id=pyzh&token=6d11ce59dc456c34867bdc430f916136
深圳卫视4K,http://iptv.cqshushu.com/gddf.php?id=szws4k&token=6d11ce59dc456c34867bdc430f916136
深圳卫视4K,http://iptv.cqshushu.com/gddf.php?id=szws4k2&token=6d11ce59dc456c34867bdc430f916136
深圳卫视,http://iptv.cqshushu.com/gddf.php?id=szws&token=6d11ce59dc456c34867bdc430f916136
深圳都市,http://iptv.cqshushu.com/gddf.php?id=szds&token=6d11ce59dc456c34867bdc430f916136
深圳都市,http://iptv.cqshushu.com/gddf.php?id=szds2&token=6d11ce59dc456c34867bdc430f916136
深圳电视剧,http://iptv.cqshushu.com/gddf.php?id=szdsj&token=6d11ce59dc456c34867bdc430f916136
深圳财经,http://iptv.cqshushu.com/gddf.php?id=szcj&token=6d11ce59dc456c34867bdc430f916136
深圳少儿,http://iptv.cqshushu.com/gddf.php?id=szse&token=6d11ce59dc456c34867bdc430f916136
深圳移动,http://iptv.cqshushu.com/gddf.php?id=szyd&token=6d11ce59dc456c34867bdc430f916136
深圳宜和购物,http://iptv.cqshushu.com/gddf.php?id=szyhgw&token=6d11ce59dc456c34867bdc430f916136
深圳国际,http://iptv.cqshushu.com/gddf.php?id=szgj&token=6d11ce59dc456c34867bdc430f916136
东莞综合,http://iptv.cqshushu.com/gddf.php?id=dgzh&token=6d11ce59dc456c34867bdc430f916136
东莞生活,http://iptv.cqshushu.com/gddf.php?id=dgsh&token=6d11ce59dc456c34867bdc430f916136
江门综合,http://iptv.cqshushu.com/gddf.php?id=jmzh&token=6d11ce59dc456c34867bdc430f916136
中山综合,http://iptv.cqshushu.com/gddf.php?id=zszh&token=6d11ce59dc456c34867bdc430f916136
云浮综合,http://iptv.cqshushu.com/gddf.php?id=yfzh&token=6d11ce59dc456c34867bdc430f916136
云浮文旅,http://iptv.cqshushu.com/gddf.php?id=yfwl&token=6d11ce59dc456c34867bdc430f916136
湛江综合,http://iptv.cqshushu.com/gddf.php?id=zjzh&token=6d11ce59dc456c34867bdc430f916136
湛江公共,http://iptv.cqshushu.com/gddf.php?id=zjgg&token=6d11ce59dc456c34867bdc430f916136
丰顺综合,http://iptv.cqshushu.com/gddf.php?id=fszh&token=6d11ce59dc456c34867bdc430f916136
五华综合,http://iptv.cqshushu.com/gddf.php?id=whzh&token=6d11ce59dc456c34867bdc430f916136
汕头综合,http://iptv.cqshushu.com/gddf.php?id=stzh&token=6d11ce59dc456c34867bdc430f916136
汕头生活,http://iptv.cqshushu.com/gddf.php?id=stsh&token=6d11ce59dc456c34867bdc430f916136
汕尾综合,http://iptv.cqshushu.com/gddf.php?id=swzh&token=6d11ce59dc456c34867bdc430f916136
汕尾生活,http://iptv.cqshushu.com/gddf.php?id=swsh&token=6d11ce59dc456c34867bdc430f916136
潮州综合,http://iptv.cqshushu.com/gddf.php?id=czzh&token=6d11ce59dc456c34867bdc430f916136
潮州民生,http://iptv.cqshushu.com/gddf.php?id=czms&token=6d11ce59dc456c34867bdc430f916136
揭阳综合,http://iptv.cqshushu.com/gddf.php?id=jytv1&token=6d11ce59dc456c34867bdc430f916136
揭阳生活,http://iptv.cqshushu.com/gddf.php?id=jytv2&token=6d11ce59dc456c34867bdc430f916136
河源综合,http://iptv.cqshushu.com/gddf.php?id=hyzh&token=6d11ce59dc456c34867bdc430f916136
河源生活,http://iptv.cqshushu.com/gddf.php?id=hysh&token=6d11ce59dc456c34867bdc430f916136
韶关综合,http://iptv.cqshushu.com/gddf.php?id=sgzh&token=6d11ce59dc456c34867bdc430f916136
阳江1,http://iptv.cqshushu.com/gddf.php?id=yjtv1&token=6d11ce59dc456c34867bdc430f916136
阳江2,http://iptv.cqshushu.com/gddf.php?id=yjtv2&token=6d11ce59dc456c34867bdc430f916136
清远综合,http://iptv.cqshushu.com/gddf.php?id=qyzh&token=6d11ce59dc456c34867bdc430f916136
肇庆综合,http://iptv.cqshushu.com/gddf.php?id=zqzh&token=6d11ce59dc456c34867bdc430f916136
肇庆生活,http://iptv.cqshushu.com/gddf.php?id=zqsh&token=6d11ce59dc456c34867bdc430f916136
怀集综合,http://iptv.cqshushu.com/gddf.php?id=hjzh&token=6d11ce59dc456c34867bdc430f916136

其他,#genre#
凤凰中文,http://iptv.cqshushu.com/gddf.php?id=fhzw&token=6d11ce59dc456c34867bdc430f916136
凤凰资讯,http://iptv.cqshushu.com/gddf.php?id=fhzx&token=6d11ce59dc456c34867bdc430f916136
凤凰香港,http://iptv.cqshushu.com/gddf.php?id=fhhk&token=6d11ce59dc456c34867bdc430f916136
纬来体育,http://iptv.cqshushu.com/wltv.php?id=wlty&token=6d11ce59dc456c34867bdc430f916136
凤凰中文,http://iptv.cqshushu.com/migu.php?pid=fhzw&token=6d11ce59dc456c34867bdc430f916136
凤凰中文,http://iptv.cqshushu.com/migu.php?pid=phoenixtv_hd&token=6d11ce59dc456c34867bdc430f916136
凤凰资讯,http://iptv.cqshushu.com/migu.php?pid=fhzx&token=6d11ce59dc456c34867bdc430f916136
凤凰资讯,http://iptv.cqshushu.com/migu.php?pid=phoenixinfo_hd&token=6d11ce59dc456c34867bdc430f916136
凤凰香港,http://iptv.cqshushu.com/migu.php?pid=fhhk&token=6d11ce59dc456c34867bdc430f916136
凤凰香港,http://iptv.cqshushu.com/migu.php?pid=hkphoenix_twn&token=6d11ce59dc456c34867bdc430f916136
翡翠台,http://iptv.cqshushu.com/migu.php?pid=jade_twn&token=6d11ce59dc456c34867bdc430f916136
翡翠台,http://iptv.cqshushu.com/migu.php?pid=fct&token=6d11ce59dc456c34867bdc430f916136
无线新闻,http://iptv.cqshushu.com/migu.php?pid=inews_twn&token=6d11ce59dc456c34867bdc430f916136
TVB星河,http://iptv.cqshushu.com/migu.php?pid=xinhe&token=6d11ce59dc456c34867bdc430f916136
明珠台,http://iptv.cqshushu.com/migu.php?pid=pearl_twn&token=6d11ce59dc456c34867bdc430f916136
华丽翡翠台,http://iptv.cqshushu.com/migu.php?pid=tvbjade&token=6d11ce59dc456c34867bdc430f916136
千禧经典,http://iptv.cqshushu.com/migu.php?pid=tvbclassic&token=6d11ce59dc456c34867bdc430f916136
天映经典,http://iptv.cqshushu.com/migu.php?pid=celestial2&token=6d11ce59dc456c34867bdc430f916136
天映电影,http://iptv.cqshushu.com/migu.php?pid=celestial&token=6d11ce59dc456c34867bdc430f916136
Astro AOD,http://iptv.cqshushu.com/migu.php?pid=aodhd&token=6d11ce59dc456c34867bdc430f916136
Astro AEC,http://iptv.cqshushu.com/migu.php?pid=aec&token=6d11ce59dc456c34867bdc430f916136
Astro QJ,http://iptv.cqshushu.com/migu.php?pid=quanjia&token=6d11ce59dc456c34867bdc430f916136
Astro 欢喜,http://iptv.cqshushu.com/migu.php?pid=huahee&token=6d11ce59dc456c34867bdc430f916136
