       
央視頻道,#genre#
佳樂臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=50&token=2ab6d7cd02005de2
新加坡U5,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=51&token=2ab6d7cd02005de2
新加坡U8,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=52&token=2ab6d7cd02005de2
Hub娛家,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=53&token=2ab6d7cd02005de2
Hub都會,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=54&token=2ab6d7cd02005de2
Hub如意,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=55&token=2ab6d7cd02005de2
HBO,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=6&token=2ab6d7cd02005de2
HBOFamily,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=4&token=2ab6d7cd02005de2
HBOHits,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=5&token=2ab6d7cd02005de2
HBOSignature,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=7&token=2ab6d7cd02005de2
動物星球,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=32&token=2ab6d7cd02005de2
台灣頻道,#genre#
民視第一台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=1&token=2ab6d7cd02005de2
民視台灣台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=2&token=2ab6d7cd02005de2
民視,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=3&token=2ab6d7cd02005de2
大愛電視,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=4&token=2ab6d7cd02005de2
中視,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=5&token=2ab6d7cd02005de2
中視經典台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=6&token=2ab6d7cd02005de2
華視,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=7&token=2ab6d7cd02005de2
三立綜合台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=8&token=2ab6d7cd02005de2
客家電視台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=9&token=2ab6d7cd02005de2
八大綜藝台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=10&token=2ab6d7cd02005de2
中視菁采台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=11&token=2ab6d7cd02005de2
TVBS精采台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=12&token=2ab6d7cd02005de2
愛爾達娛樂台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=13&token=2ab6d7cd02005de2
靖天綜合台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=14&token=2ab6d7cd02005de2
靖天日本台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=15&token=2ab6d7cd02005de2
新唐人亞太台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=16&token=2ab6d7cd02005de2
ARIRANG阿里郎頻道,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=17&token=2ab6d7cd02005de2
GlobalTrekker,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=18&token=2ab6d7cd02005de2
原住民族電視台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=19&token=2ab6d7cd02005de2
東森購物四台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=20&token=2ab6d7cd02005de2
LiveABC互動英語頻道,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=21&token=2ab6d7cd02005de2
達文西頻道,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=22&token=2ab6d7cd02005de2
ELTV生活英語台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=23&token=2ab6d7cd02005de2
NickJr.兒童頻道,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=24&token=2ab6d7cd02005de2
尼克兒童頻道,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=25&token=2ab6d7cd02005de2
DreamWorks夢工廠動畫,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=26&token=2ab6d7cd02005de2
靖天卡通台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=27&token=2ab6d7cd02005de2
靖洋卡通NiceBingo,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=28&token=2ab6d7cd02005de2
MOMO親子台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=29&token=2ab6d7cd02005de2
東森購物一台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=30&token=2ab6d7cd02005de2
鏡電視新聞台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=31&token=2ab6d7cd02005de2
東森新聞台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=32&token=2ab6d7cd02005de2
華視新聞,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=33&token=2ab6d7cd02005de2
民視新聞台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=34&token=2ab6d7cd02005de2
三立新聞iNEWS,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=35&token=2ab6d7cd02005de2
TVBS新聞,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=36&token=2ab6d7cd02005de2
東森財經新聞台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=37&token=2ab6d7cd02005de2
中視新聞,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=38&token=2ab6d7cd02005de2
中天新聞,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=39&token=2ab6d7cd02005de2
BloombergTV,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=40&token=2ab6d7cd02005de2
寰宇新聞台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=41&token=2ab6d7cd02005de2
寰宇新聞台灣台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=42&token=2ab6d7cd02005de2
SBN全球財經台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=43&token=2ab6d7cd02005de2
TVBS,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=44&token=2ab6d7cd02005de2
東森購物二台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=45&token=2ab6d7cd02005de2
民視綜藝台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=46&token=2ab6d7cd02005de2
豬哥亮歌廳秀,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=47&token=2ab6d7cd02005de2
靖天育樂台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=48&token=2ab6d7cd02005de2
KLT-靖天國際台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=49&token=2ab6d7cd02005de2
NiceTV靖天歡樂台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=50&token=2ab6d7cd02005de2
靖天資訊台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=51&token=2ab6d7cd02005de2
TVBS歡樂台,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=52&token=2ab6d7cd02005de2
韓國娛樂台KMTV,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=53&token=2ab6d7cd02005de2
ROCKEntertainment,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=54&token=2ab6d7cd02005de2
Lifetime娛樂頻道,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=55&token=2ab6d7cd02005de2
電影原聲台CMusic,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=56&token=2ab6d7cd02005de2
TRACEUrban,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=57&token=2ab6d7cd02005de2
MTVLiveHD音樂頻道,http://as.288856.xyz/ashd/proxy/cibn/aiw.php?id=58&token=2ab6d7cd02005de2
廣東頻道,#genre#
廣東衛視,http://idc.zymok.cn:10000/udp/239.77.0.84:5146
大灣區衛視,http://idc.zymok.cn:10000/udp/239.77.0.215:5146
廣東影視,http://idc.zymok.cn:10000/udp/239.77.0.217:5146
廣東新聞,http://idc.zymok.cn:10000/udp/239.77.0.173:5146
廣東珠江,http://idc.zymok.cn:10000/udp/239.77.0.1:5146
廣東民生,http://idc.zymok.cn:10000/udp/239.77.0.225:5146
廣東經濟,http://idc.zymok.cn:10000/udp/239.77.0.85:5146
廣東體育,http://idc.zymok.cn:10000/udp/239.77.0.112:5146
廣東少兒,http://idc.zymok.cn:10000/udp/239.77.0.250:5146
揭陽綜合,http://idc.zymok.cn:10000/udp/239.77.0.229:5146
揭陽生活,http://idc.zymok.cn:10000/udp/239.77.0.251:5146
汕尾綜合,http://idc.zymok.cn:10000/udp/239.77.0.25:5146
汕尾生活,http://idc.zymok.cn:10000/udp/239.77.0.187:5146
汕頭綜合,http://idc.zymok.cn:10000/udp/239.253.43.45:5146
汕頭生活,http://idc.zymok.cn:10000/udp/239.253.43.46:5146
潮州綜合,http://idc.zymok.cn:10000/udp/239.253.43.70:5146
潮州民生,http://idc.zymok.cn:10000/udp/239.253.43.75:5146
鬥魚輪播,#genre#
邵氏影院,https://douyu.wibenlee.cc.cd/4246519
女神影院,https://douyu.wibenlee.cc.cd/747764
華語影院,https://douyu.wibenlee.cc.cd/85894
華語影院 ,https://douyu.wibenlee.cc.cd/122402
華語粵語,https://douyu.wibenlee.cc.cd/6566671
英叔電影,https://douyu.wibenlee.cc.cd/218859
鬼片電影,https://douyu.wibenlee.cc.cd/96577
鬼片電影,https://douyu.wibenlee.cc.cd/5489341
歐美電影,https://douyu.wibenlee.cc.cd/206858
豆瓣電影,https://douyu.wibenlee.cc.cd/52787
恐怖電影,https://douyu.wibenlee.cc.cd/310926
恐怖電影,https://douyu.wibenlee.cc.cd/9275635
瑤瑤電影,https://douyu.wibenlee.cc.cd/2935323
冰冰電影,https://douyu.wibenlee.cc.cd/74374
科幻影院,https://douyu.wibenlee.cc.cd/7270927
陽光影院,https://douyu.wibenlee.cc.cd/10704006
恐怖影院,https://douyu.wibenlee.cc.cd/9275635
淩兒影院,https://douyu.wibenlee.cc.cd/1377142
瑟瑟電影,https://douyu.wibenlee.cc.cd/9597793
奶瓶古裝,https://douyu.wibenlee.cc.cd/7644931
古裝神劇,https://douyu.wibenlee.cc.cd/338759
古裝影視,https://douyu.wibenlee.cc.cd/6566658
歐美大片,https://douyu.wibenlee.cc.cd/20415
香港賭片,https://douyu.wibenlee.cc.cd/315457
瑤瑤恐怖,https://douyu.wibenlee.cc.cd/2935323
華語院線,https://douyu.wibenlee.cc.cd/5581257
奶瓶電影,https://douyu.wibenlee.cc.cd/6655271
貝爺影廳1,https://douyu.wibenlee.cc.cd/36337
貝爺影廳2,https://douyu.wibenlee.cc.cd/4332
貝爺影廳2,https://douyu.wibenlee.cc.cd/36337
貝爺影廳2,https://douyu.wibenlee.cc.cd/36337
貝爺影廳3,https://douyu.wibenlee.cc.cd/252802
港劇天地,https://douyu.wibenlee.cc.cd/5261342
粵語劇,https://douyu.wibenlee.cc.cd/742565
粵語經典影視,https://douyu.wibenlee.cc.cd/8524186
粵語蔕,https://douyu.wibenlee.cc.cd/252308
粵語電視劇,https://douyu.wibenlee.cc.cd/9701481
粵語港劇,https://douyu.wibenlee.cc.cd/6478650
粵語港片影院,https://douyu.wibenlee.cc.cd/8603174
粵語點播電影,https://douyu.wibenlee.cc.cd/2466104
粵語經典電影,https://douyu.wibenlee.cc.cd/1226741
粵語經典影院,https://douyu.wibenlee.cc.cd/5033502
恐怖喪屍鬼片,https://douyu.wibenlee.cc.cd/263824
恐怖喪屍鬼片,https://douyu.wibenlee.cc.cd/263824
恐怖喪屍鬼片,https://douyu.wibenlee.cc.cd/263824
奶瓶歐美大片,https://douyu.wibenlee.cc.cd/6655271
龍門,https://douyu.wibenlee.cc.cd/9650860
點播電視劇,https://douyu.wibenlee.cc.cd/7476264
喜劇電影,https://douyu.wibenlee.cc.cd/9650887
喜劇電影,https://douyu.wibenlee.cc.cd/9292492
恐怖影廳,https://douyu.wibenlee.cc.cd/3637726
鬼片點播電影,https://douyu.wibenlee.cc.cd/218859
點播恐怖電影,https://douyu.wibenlee.cc.cd/310926
西遊記,https://douyu.wibenlee.cc.cd/5472438
檬檬功夫,https://douyu.wibenlee.cc.cd/9838414
亞洲功夫,https://douyu.wibenlee.cc.cd/11849283
經典功夫,http://as.hgvip.top/aishitv/proxy/cibn/yylb.php?id=1355002394&token=2ab6d7cd02005de2
電影1,https://douyu.wibenlee.cc.cd/2935323
電影2,https://douyu.wibenlee.cc.cd/6027991
電影3,https://douyu.wibenlee.cc.cd/4105989
電影4,https://douyu.wibenlee.cc.cd/6369954
電影5,https://douyu.wibenlee.cc.cd/2793084
電影6,https://douyu.wibenlee.cc.cd/434971
電影8,https://douyu.wibenlee.cc.cd/74374
電影10,https://douyu.wibenlee.cc.cd/7305938
電影11,https://douyu.wibenlee.cc.cd/310926
電影13,https://douyu.wibenlee.cc.cd/9292499
電影14,https://douyu.wibenlee.cc.cd/3637778
電影15,https://douyu.wibenlee.cc.cd/8603174
電影16,https://douyu.wibenlee.cc.cd/96577
電影18,https://douyu.wibenlee.cc.cd/338759
電影24,https://douyu.wibenlee.cc.cd/9652323
電影25,https://douyu.wibenlee.cc.cd/9826611
電影26,https://douyu.wibenlee.cc.cd/4505431
電影29,https://douyu.wibenlee.cc.cd/315457
電影HD1,https://douyu.wibenlee.cc.cd/4246519
電影HD3,https://douyu.wibenlee.cc.cd/122402
電影HD4,https://douyu.wibenlee.cc.cd/85894
電影HD7,https://douyu.wibenlee.cc.cd/20415
電影HD9,https://douyu.wibenlee.cc.cd/323876
電影HD10,https://douyu.wibenlee.cc.cd/6140589
電影HD11,https://douyu.wibenlee.cc.cd/8770422
電影HD12,https://douyu.wibenlee.cc.cd/2436390
電影HD14,https://douyu.wibenlee.cc.cd/36337
電影HD15,https://douyu.wibenlee.cc.cd/413573
電影HD16,https://douyu.wibenlee.cc.cd/1504768
電影HD18,https://douyu.wibenlee.cc.cd/9292492
電影HD20,https://douyu.wibenlee.cc.cd/10395991
電影HD21,https://douyu.wibenlee.cc.cd/10395986
電影HD22,https://douyu.wibenlee.cc.cd/252802
電影HD24,https://douyu.wibenlee.cc.cd/6079455
電影HD26,https://douyu.wibenlee.cc.cd/8945323
電影HD27,https://douyu.wibenlee.cc.cd/2516864
電影HD29,https://douyu.wibenlee.cc.cd/248753
電影HD30,https://douyu.wibenlee.cc.cd/4332
電影HD32,https://douyu.wibenlee.cc.cd/9651304
電影HD33,https://douyu.wibenlee.cc.cd/9650887
電影HD35,https://douyu.wibenlee.cc.cd/8814650
電影HD37,https://douyu.wibenlee.cc.cd/52787
電影HD38,https://douyu.wibenlee.cc.cd/8985415
電影HD39,https://douyu.wibenlee.cc.cd/1165374
電影HD40,https://douyu.wibenlee.cc.cd/1735337
電影HD41,https://douyu.wibenlee.cc.cd/1226741
恐怖故事,https://douyu.wibenlee.cc.cd/2337939
恐怖故事,https://douyu.wibenlee.cc.cd/2337939
粵語電影,https://douyu.wibenlee.cc.cd/6566671
粵語電影,https://douyu.wibenlee.cc.cd/6566671
姽婳影院,https://douyu.wibenlee.cc.cd/1409682
萌牛影院,https://douyu.wibenlee.cc.cd/7494871
午夜故事,https://douyu.wibenlee.cc.cd/8722254
午夜故事,https://douyu.wibenlee.cc.cd/8722254
豬醬影院,https://douyu.wibenlee.cc.cd/7029806
功夫港片,https://douyu.wibenlee.cc.cd/3637765
功夫港片,https://douyu.wibenlee.cc.cd/3637765
超清港劇,https://douyu.wibenlee.cc.cd/223521
貝貝影院,https://douyu.wibenlee.cc.cd/431460
貝貝影院,https://douyu.wibenlee.cc.cd/431460
幸運影院,https://douyu.wibenlee.cc.cd/7270927
幸運影院,https://douyu.wibenlee.cc.cd/7270927
黎黎影院,https://douyu.wibenlee.cc.cd/7116591
豆寶影院,https://douyu.wibenlee.cc.cd/8058642
紀錄片,https://douyu.wibenlee.cc.cd/4360438
紀錄片,https://douyu.wibenlee.cc.cd/4360438
貝爺求生,https://douyu.wibenlee.cc.cd/454867
貝爺求生,https://douyu.wibenlee.cc.cd/454867
野外生存,https://douyu.wibenlee.cc.cd/1339207
野外生存,https://douyu.wibenlee.cc.cd/1339207
經典港劇,https://douyu.wibenlee.cc.cd/4549169
經典港劇,https://douyu.wibenlee.cc.cd/4549169
鬼吹燈,https://douyu.wibenlee.cc.cd/9292503
胡八壹,https://douyu.wibenlee.cc.cd/7701735
胡八壹,https://douyu.wibenlee.cc.cd/7517784
米娅影院,https://douyu.wibenlee.cc.cd/6537888
表妹影院,https://douyu.wibenlee.cc.cd/5423
表妹影院,https://douyu.wibenlee.cc.cd/5423
荒野建造者,https://douyu.wibenlee.cc.cd/9611578
荒野建造者,https://douyu.wibenlee.cc.cd/9611578
港式恐怖,https://douyu.wibenlee.cc.cd/3637726
港式恐怖,https://douyu.wibenlee.cc.cd/3637726
CCTV放映室,https://douyu.wibenlee.cc.cd/10011042
丸子經典電影,https://douyu.wibenlee.cc.cd/8986148
周星馳電影,https://douyu.wibenlee.cc.cd/3990812
周星馳電影,https://douyu.wibenlee.cc.cd/3990812
林正英電影2,https://douyu.wibenlee.cc.cd/7356023
林正英電影2,https://douyu.wibenlee.cc.cd/7356023
恐怖專場,https://douyu.wibenlee.cc.cd/7353112
星星影院,https://douyu.wibenlee.cc.cd/315131
恐怖動作片,https://douyu.wibenlee.cc.cd/5129261
漫威電影,https://douyu.wibenlee.cc.cd/4282654
漫威電影,https://douyu.wibenlee.cc.cd/4282654
科幻系列,https://douyu.wibenlee.cc.cd/8107217
華語電影,https://douyu.wibenlee.cc.cd/3928
華語電影,https://douyu.wibenlee.cc.cd/6003761
華語電影,https://douyu.wibenlee.cc.cd/3928
華語電影,https://douyu.wibenlee.cc.cd/3928
高幀影片,https://douyu.wibenlee.cc.cd/6763930
高幀影片,https://douyu.wibenlee.cc.cd/6763930
小九電影,https://douyu.wibenlee.cc.cd/7136517
小九電影,https://douyu.wibenlee.cc.cd/7136517
國外電影,https://douyu.wibenlee.cc.cd/9683979
帶妳看大片,https://douyu.wibenlee.cc.cd/2758565
帶妳看大片,https://douyu.wibenlee.cc.cd/2758565
素顔話多,https://douyu.wibenlee.cc.cd/8861179
海綿與大星,https://douyu.wibenlee.cc.cd/2250349
海綿與大星,https://douyu.wibenlee.cc.cd/2250349
壹起看恐怖片,https://douyu.wibenlee.cc.cd/9412287
壹起看恐怖片,https://douyu.wibenlee.cc.cd/9412287
平安夜快樂,https://douyu.wibenlee.cc.cd/6863367
平安夜快樂,https://douyu.wibenlee.cc.cd/6863367
鳳凰堂,https://douyu.wibenlee.cc.cd/7292330
果子哥哥,https://douyu.wibenlee.cc.cd/9372950
片荒的日子,https://douyu.wibenlee.cc.cd/4258555
片荒的日子,https://douyu.wibenlee.cc.cd/4258555
最新視頻,https://douyu.wibenlee.cc.cd/1557505
最新視頻,https://douyu.wibenlee.cc.cd/1557505
大胡子魏,https://douyu.wibenlee.cc.cd/8792763
大胡子魏,https://douyu.wibenlee.cc.cd/8792763
童年回憶,https://douyu.wibenlee.cc.cd/8915074
童年回憶,https://douyu.wibenlee.cc.cd/8915074
爆笑解說,https://douyu.wibenlee.cc.cd/8317926
爆笑解說,https://douyu.wibenlee.cc.cd/2660125
爆笑解說,https://douyu.wibenlee.cc.cd/8317926
爆笑解說,https://douyu.wibenlee.cc.cd/2660125
超級英雄,https://douyu.wibenlee.cc.cd/1428266
下飯神劇,https://douyu.wibenlee.cc.cd/276200
下飯神劇,https://douyu.wibenlee.cc.cd/276200
懸疑犯罪,https://douyu.wibenlee.cc.cd/9171887
懸疑犯罪,https://douyu.wibenlee.cc.cd/9171887
看經典,https://douyu.wibenlee.cc.cd/7314294
看經典,https://douyu.wibenlee.cc.cd/7314294
下午茶時間,https://douyu.wibenlee.cc.cd/7246932
最大的大好人,https://douyu.wibenlee.cc.cd/7528160
不壹樣的電影,https://douyu.wibenlee.cc.cd/2632223
不壹樣的電影,https://douyu.wibenlee.cc.cd/2632223
爛片的克星,https://douyu.wibenlee.cc.cd/9222870
燕雙鷹狄仁傑,https://douyu.wibenlee.cc.cd/3439096
