新凡🍏央卫,#genre#
湖北卫视,http://115.29.208.41:30010/fjbst.php?id=186
山东卫视,http://115.29.208.41:30010/fjbst.php?id=185
山东卫视,http://115.29.208.41:30010/sdsd.php?id=sdws
山东卫视,http://115.29.208.41:30010/sdqlw.php?id=sdws
山西卫视,http://115.29.208.41:30010/fjbst.php?id=211
山西卫视,http://115.29.208.41:30010/sxtv.php?id=ws
河南卫视,http://115.29.208.41:30010/fjbst.php?id=198
河南卫视,http://115.29.208.41:30010/hendx.php?id=hnws
河北卫视,http://115.29.208.41:30010/fjbst.php?id=183
河北卫视,http://115.29.208.41:30010/hebtv.php?id=hbws
陕西卫视,http://115.29.208.41:30010/fjbst.php?id=201
农林卫视,http://115.29.208.41:30010/shxtv.php?id=1126
农林卫视,http://115.29.208.41:30010/shxtv2.php?id=nlws
江西卫视,http://115.29.208.41:30010/fjbst.php?id=193
黑龙江卫视,http://115.29.208.41:30010/fjbst.php?id=188
吉林卫视,http://115.29.208.41:30010/fjbst.php?id=210
辽宁卫视,http://115.29.208.41:30010/fjbst.php?id=194
延边卫视,http://115.29.208.41:30010/jltv.php?id=ybws
四川卫视,http://115.29.208.41:30010/fjbst.php?id=192
安徽卫视,http://115.29.208.41:30010/fjbst.php?id=190
云南卫视,http://115.29.208.41:30010/fjbst.php?id=197
贵州卫视,http://115.29.208.41:30010/fjbst.php?id=189
广西卫视,http://115.29.208.41:30010/fjbst.php?id=200
海南卫视,http://115.29.208.41:30010/fjbst.php?id=199
三沙卫视,http://115.29.208.41:30010/fjbst.php?id=217
宁夏卫视,http://115.29.208.41:30010/fjbst.php?id=203
内蒙古卫视,http://115.29.208.41:30010/fjbst.php?id=213
新疆卫视,http://115.29.208.41:30010/fjbst.php?id=214
兵团卫视,http://115.29.208.41:30010/fjbst.php?id=215
青海卫视,http://115.29.208.41:30010/fjbst.php?id=202
安多卫视,http://115.29.208.41:30010/qhtv.php?id=adws
甘肃卫视,http://115.29.208.41:30010/fjbst.php?id=212
西藏卫视,http://115.29.208.41:30010/fjbst.php?id=216

风云🇨🇳港台,#genre#
凤凰中文,http://j.s.bkpcp.top/js/fhzw
凤凰资讯,http://j.s.bkpcp.top/js/fhzx
凤凰香港,http://j.s.bkpcp.top/js/fhxg
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/qrfbg
无线新闻,http://r.jdshipin.com/CkuBd
明珠台,http://r.jdshipin.com/ZQ4kN
TVB Plus,http://r.jdshipin.com/ndGgS
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB星河,http://r.jdshipin.com/Voac4
TVB星河,http://r.jdshipin.com/sXuuD
华丽翡翠台,http://r.jdshipin.com/thuYX
ViuTV,http://r.jdshipin.com/vSJvl
澳视澳门,http://r.jdshipin.com/n2YZI

美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32


中天新闻,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUn1weg9EIn8Xrh84byOMHltVE9N3WLtuC0KGqQoCGF3mOm0TSLdgPjhBprmGB4zyqQzA-hlku7ywqIzpIxD2NPouLpCdDfVvqCGLQHOouS1wFJfKeirbr0BNlIEcSWPoxar79xDEZh18C4Q3EZzV308KVQo0L5GaZ9n1h-yns8FSMwsfu2dThB5qEdAcL_EJ3eRscWGZ_PGZT3xHdBjigUA.m3u8?u=1756878715
中视新闻,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUyH_fs26-c7nBUTry9_G9WMoiY9eSvYzh6ZwnRGmkQCdsjPrEP66LQen6iWL-fzZsqBTXBHKSfZLUc3BwHZ8Q4_yA7qBHgB0punInWfeNbjrSmjvScFFu0zpuxNErW7EIII4-rSdU1ytKDClCBqmsDn2rc00nFckmk5plk1cMpGnBmnI_y3vRoROfc3NhwO-4ZeKxcw_ZE1BegueTZVshjQ.m3u8?u=1756878715
华视新闻,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUyH_fs26-c7nBUTry9_G9WKqScQqAKpRWYNyer9iIQlXfEfGOtgn4R3j-fMkdCF3Nrz8a8eWtVPoBarT83pADy0q9_LSk_YemjPXgslCED7SsSF1-vePW6HBPwNMbJZjVrVMIe8TvrqhAfpliA3zm12VWQgXhJALgwvtO8zKq0OSijpJ5tnyd4PioVRKZPphfrGIxVr2eJ06-AOUnncmLLA.m3u8?u=1756878715
台视新闻,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUyH_fs26-c7nBUTry9_G9WNuD_XjMeRfmWF04O0RfD3fflKqSgrhOtkHsYB1YQTSvhscjGW3T8rf3CFzfYl4iI8DTTm-5OSvy80YjPqMN_cpyFGhLm-Ruyfmzu_7xrjqT-9GBgHwFLkyNFQzGJWbhmHXJUBlyty0e0vgYH48pATr-8pAVDOl4YVdbbu-ydMBUCi5cNttFMNmRtOWZSykmNQ.m3u8?u=1756878715
寰宇新聞,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUrjtaa4Sm6Zqst6X8-oz1Y-yX5WxfP9t3MAsEacmoHMAATkf95hBijDFAQIps_CljrY7cfUCax36RsGU9vHMakaqNys8flpfoZ32z0eID0KJ2STPZ2GH5xPG1alwz1Hp62UTKJuAYloprj_uyKumLdGq2pfUc7NXdljnUnLj3LSgPR9bjDEehNM6ZhUDcIxp6k6StsTsgfCFcB27k567Ffg.m3u8?u=1756878715
年代新闻,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUaB2MBpZJIecyktt2dzKZQvzDmsGPRsuRU2uKtozBIbVuj3nQ76zeQNSfvlqaCO74L1hE9YA3539hcp4FLk3RsP67gciU6sMI9_Ho3bTvoNl5lAWH0RAIF53EiwGIB1btqj1CJWfr7pdC0PMT5nku57JdhxBU8vjD_Be8N6lFdkCGP61-QcU2SJ38Xv_HOGSnGTLVAVAzlWXdVwjiDGte9w.m3u8?u=1756878715
非凡新聞,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUaB2MBpZJIecyktt2dzKZQmXztaPqUaTu4Cwnl89i6cAR9Ns3UjqcoGz-7Ku7pzf8iRuAW58SqlW8Ghow8snuw6yfVoLvHJKXPQNA-W3LLPQLYBMRGmbNnAsWRe3wWdIC4EE16x_TBLIOmMb-W1cOjjtcA4GIBxfm2qECWwd6GZ4tuxkY-pmlspR_GyEilrC5x123WrqHPcYUKVnd9k5Lvw.m3u8?u=1756878715

澳视澳门FYtv,http://iptv.4666888.xyz/iptv2A.php?id=41
广东珠江FYtv,http://iptv.4666888.xyz/iptv2A.php?id=19
广东体育FYtv,http://iptv.4666888.xyz/iptv2A.php?id=20
凤凰中文FYtv,http://iptv.4666888.xyz/iptv2A.php?id=27
有线新闻FYtv,http://iptv.4666888.xyz/iptv2A.php?id=31
无线翡翠FYtv,http://iptv.4666888.xyz/iptv2A.php?id=34
无线华丽FYtv,http://iptv.4666888.xyz/iptv2A.php?id=28
无线明珠FYtv,http://iptv.4666888.xyz/iptv2A.php?id=29
无线娱乐FYtv,http://iptv.4666888.xyz/iptv2A.php?id=36
无线千禧FYtv,http://iptv.4666888.xyz/iptv2A.php?id=22
无线1_美FYtv,http://iptv.4666888.xyz/iptv2A.php?id=25
无线J1美FYtv,http://iptv.4666888.xyz/iptv2A.php?id=26
无线翡剧FYtv,http://iptv.4666888.xyz/iptv2A.php?id=33
有线综合FYtv,http://iptv.4666888.xyz/iptv2A.php?id=35
美亚电影FYtv,http://iptv.4666888.xyz/iptv2A.php?id=30
RTHK-31FYtv,http://iptv.4666888.xyz/iptv2A.php?id=23
tvbs新闻FYtv,http://iptv.4666888.xyz/iptv2A.php?id=43
纬来电影FYtv,http://iptv.4666888.xyz/iptv2A.php?id=40
龙华电影FYtv,http://iptv.4666888.xyz/iptv2A.php?id=45
东森电影FYtv,http://iptv.4666888.xyz/iptv2A.php?id=48
民视闽南FYtv,http://iptv.4666888.xyz/iptv2A.php?id=55
民视影剧FYtv,http://iptv.4666888.xyz/iptv2A.php?id=53
民视综艺FYtv,http://iptv.4666888.xyz/iptv2A.php?id=46
中视经典FYtv,http://iptv.4666888.xyz/iptv2A.php?id=54
非凡商业FYtv,http://iptv.4666888.xyz/iptv2A.php?id=44
华艺中文FYtv,http://iptv.4666888.xyz/iptv2A.php?id=37
博运动壹FYtv,http://iptv.4666888.xyz/iptv2A.php?id=6
八度空间FYtv,http://iptv.4666888.xyz/iptv2A.php?id=52
爱奇艺综FYtv,http://iptv.4666888.xyz/iptv2A.php?id=21
JET-综合FYtv,http://iptv.4666888.xyz/iptv2A.php?id=51
ELta综合FYtv,http://iptv.4666888.xyz/iptv2A.php?id=49
rock娱乐FYtv,http://iptv.4666888.xyz/iptv2A.php?id=50
EYE-戏剧FYtv,http://iptv.4666888.xyz/iptv2A.php?id=56
wwe格斗FYtv,http://iptv.4666888.xyz/iptv2A.php?id=5
SPOTV-1FYtv,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV-2FYtv,http://iptv.4666888.xyz/iptv2A.php?id=1
Football-FYtv,http://iptv.4666888.xyz/iptv2A.php?id=4
Sports-3'FYtv,http://iptv.4666888.xyz/iptv2A.php?id=3
CCTV-01FYtv,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV-02FYtv,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV-03FYtv,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV-04FYtv,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV-13FYtv,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV-14FYtv,http://iptv.4666888.xyz/iptv2A.php?id=12
CCTV-16FYtv,http://iptv.4666888.xyz/iptv2A.php?id=32
浙江卫视FYtv,http://iptv.4666888.xyz/iptv2A.php?id=14
江苏卫视FYtv,http://iptv.4666888.xyz/iptv2A.php?id=15
湖南卫视FYtv,http://iptv.4666888.xyz/iptv2A.php?id=13
广东卫视FYtv,http://iptv.4666888.xyz/iptv2A.php?id=18
山西卫视FYtv,http://iptv.4666888.xyz/iptv2A.php?id=16
青海卫视FYtv,http://iptv.4666888.xyz/iptv2A.php?id=17

广东🎢地区,#genre#
广东珠江频道,http://rihou.cc:555/tv/[AtI]广东珠江
广东新闻频道,http://rihou.cc:555/tv/[AtI]广东新闻
广东民生频道,http://rihou.cc:555/tv/[AtI]广东民生
广东体育频道,http://rihou.cc:555/tv/[AtI]广东体育
广东湾区频道,http://rihou.cc:555/tv/[AtI]广东湾区
广东影视频道,http://rihou.cc:555/tv/[AtI]广东影视
广东经济频道,http://rihou.cc:555/tv/[AtI]广东经济
广东少儿频道,http://rihou.cc:555/tv/[AtI]广东少儿
广东卫视频道,http://rihou.cc:555/tv/[AtI]广东卫视
广东珠江频道,http://rihou.cc:555/tv/[At|]广东珠江
广东新闻频道,http://rihou.cc:555/tv/[At|]广东新闻
广东民生频道,http://rihou.cc:555/tv/[At|]广东民生
广东体育频道,http://rihou.cc:555/tv/[At|]广东体育
广东湾区频道,http://rihou.cc:555/tv/[At|]广东湾区
广东影视频道,http://rihou.cc:555/tv/[At|]广东影视
广东珠江频道,http://rihou.cc:555/tv/[Cx]广东珠江
广东体育频道,http://rihou.cc:555/tv/[Cx]广东体育
广州综合频道,http://rihou.cc:555/tv/[Cx]广州综合
广州新闻频道,http://rihou.cc:555/tv/[Cx]广州新闻
广州南国频道,http://rihou.cc:555/tv/[Cx]广州南国

音乐🎈频道,#genre#孙燕姿,https://vd3.bdstatic.com/mda-ncujakyfdsggcxm5/hd/cae_h264_delogo/1648565116903852136/mda-ncujakyfdsggcxm5.mp4?auth_key=1701098546-0-0-2ed3449f6490079a47fa5049f63bbfdd&bcevod_channel=searchbox_feed&cr=1&cd=0&pd=1&pt=4&logid=1346702170&vid=14490800840131192881&abtest=all
邓紫棋,https://vd2.bdstatic.com/mda-ncsd523maqd4q3cg/hd/cae_h264_delogo/1648375275609695251/mda-ncsd523maqd4q3cg.mp4?auth_key=1701098759-0-0-6b3113689de3ed7c7bd0d3f11413affb&bcevod_channel=searchbox_feed&cr=1&cd=0&pd=1&pt=4&logid=1559128696&vid=12937657313201551366&abtest=all
邓紫棋节目,https://vd2.bdstatic.com/mda-pa5hpxjksncws3p2/sc/cae_h264/1673057581690768090/mda-pa5hpxjksncws3p2.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1701100281-0-0-eaa2276dc233f1d1123ede9668853d4e&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3081663585&vid=2852208861466033833&klogid=3081663585&abtest=114240_2-114675_1
邓紫棋MV,https://vd4.bdstatic.com/mda-nm0apcsxe99pykub/sc/cae_h264/1669886642256731767/mda-nm0apcsxe99pykub.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1701100322-0-0-a520dcf4a328dced202c87e79d70ae17&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3122513605&vid=8034797116456445175&klogid=3122513605&abtest=114240_2-114675_1
林俊杰,https://vd2.bdstatic.com/mda-nakk3949nijnscgq/sc/cae_h264_delogo/1642780930370813401/mda-nakk3949nijnscgq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1701100567-0-0-ecb0e6ef0339b53805d4665e7eae4894&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3367824824&vid=12591636700864987693&klogid=3367824824&abtest=114240_2-114675_1
陈奕迅,https://vd3.bdstatic.com/mda-pj877ew03d0qzw5w/wzdash/bd264/1698886248444330741/mda-pj877ew03d0qzw5w/dash-default.mp4?cr=0&cd=1&abtest=114240_2-114675_1&logid=0149622148&pd=1&pt=3&vid=7886304255961148255
2022流行曲,https://tx-safety-video.acfun.cn/mediacloud/acfun/acfun_video/e8b3a4e322649adb-ad70abb1cd4ae38ab200c72b14fa99bc-hls_720p_2.m3u8?pkey=ABBjkxF_Dr6HiFNvzk4jHkJ_Nr3C6zfBHeX_ORiSlYBIs3RfUuzFnDzCyWccXHCEMeWIAsA651YHEcqPpakunzAko1duHF9s2xQ1O-mWq5ZM56HwuxLeip5tAdMwx1rutr94OeFPnq4GOMSvmq63luPozqPHl4oOWlOdhUPxW0VoV0bwpXFCHr_eeXlo0SoQfyEX0cS2zfV0ezxRJxDhvkXDWBqEfwIt-ZvAtCf1bUhGJORr5asb_s-No4xMsEwpK2Y&safety_id=AAIVLKAOdqweu22xvhCtqZsr
王菲,https://vd3.bdstatic.com/mda-pjp2zxvdg24z7xyy/1080p/cae_h264/1698217775802767942/mda-pjp2zxvdg24z7xyy.mp4
刘德华,https://vd2.bdstatic.com/mda-pjkfx92jybywmm4j/720p/h264/1697888378863819752/mda-pjkfx92jybywmm4j.mp4
周华健,https://vd3.bdstatic.com/mda-pji6sfruirxv9r4c/1080p/cae_h264/1697750283363939899/mda-pji6sfruirxv9r4c.mp4
张杰,https://vd2.bdstatic.com/mda-pk6jcyq6n6izyb5k/1080p/cae_h264/1699636595933186529/mda-pk6jcyq6n6izyb5k.mp4
许嵩,https://vd4.bdstatic.com/mda-pk66m1g13zwiwsye/1080p/cae_h264/1699510119332446572/mda-pk66m1g13zwiwsye.mp4
陈奕迅,https://vd2.bdstatic.com/mda-pk1hwg2t7ftp6uxx/1080p/cae_h264/1699036876466221407/mda-pk1hwg2t7ftp6uxx.mp4
周传雄,https://vd2.bdstatic.com/mda-pjvcmh8hs1bxw4xt/1080p/cae_h264/1698766118317392328/mda-pjvcmh8hs1bxw4xt.mp4
李宗盛,https://vd2.bdstatic.com/mda-pkgfhem3t8g6b0z8/720p/h264/1700221942585471554/mda-pkgfhem3t8g6b0z8.mp4
伍佰,https://vd3.bdstatic.com/mda-pk18r357pqym2t2y/1080p/cae_h264/1698971417902472140/mda-pk18r357pqym2t2y.mp4
徐小凤,https://vd4.bdstatic.com/mda-pjn4efhjeky8r2nn/1080p/cae_h264/1698098599114610049/mda-pjn4efhjeky8r2nn.mp4
梅艳芳,https://vd3.bdstatic.com/mda-pjq3ne0y56wdxf2s/1080p/cae_h264/1698276899495565793/mda-pjq3ne0y56wdxf2s.mp4
情歌王子张信哲,https://vd4.bdstatic.com/mda-pkcdkh1a516v5j3y/720p/h264/1699869743043196021/mda-pkcdkh1a516v5j3y.mp4
不老男神林志颖,https://vd3.bdstatic.com/mda-pkbge22ny7zuyqhg/1080p/cae_h264/1700090043678671574/mda-pkbge22ny7zuyqhg.mp4
音乐奇才黄家驹,https://vd3.bdstatic.com/mda-pkcah3eh3p1qij7b/1080p/cae_h264/1700057177846181962/mda-pkcah3eh3p1qij7b.mp4
情歌王子姜育恒,https://vd3.bdstatic.com/mda-pkbc2e5j82e0n1kp/1080p/cae_h264/1699964723210625345/mda-pkbc2e5j82e0n1kp.mp4
励志歌手郑智化,https://vd4.bdstatic.com/mda-pkb56rb151q7xwu9/1080p/cae_h264/1699931146182509872/mda-pkb56rb151q7xwu9.mp4
苦情歌王张宇,https://vd4.bdstatic.com/mda-pkb28ajhwe174f7j/1080p/cae_h264/1699846476579882257/mda-pkb28ajhwe174f7j.mp4
音乐才子张雨生,https://vd4.bdstatic.com/mda-pk98nmnp7zq5g1jh/1080p/cae_h264/1699813396527408473/mda-pk98nmnp7zq5g1jh.mp4
香港大哥钟镇涛,https://vd4.bdstatic.com/mda-pk913ejp0ug5sf86/720p/h264/1699578762094668028/mda-pk913ejp0ug5sf86.mp4
香港歌手张明敏,https://vd3.bdstatic.com/mda-pk8gz9ngbkda3qxq/720p/h264/1699532698449583436/mda-pk8gz9ngbkda3qxq.mp4
狂舞天使张惠妹,https://vd2.bdstatic.com/mda-pk84tr9c30fpamdz/720p/h264/1699501953636037174/mda-pk84tr9c30fpamdz.mp4永远想念哥哥张国荣,https://vd4.bdstatic.com/mda-pk4edusu417t16yk/1080p/cae_h264/1699230648697960971/mda-pk4edusu417t16yk.mp4
情歌王子陈百强,https://vd4.bdstatic.com/mda-pk3fyap9swqifck2/1080p/cae_h264/1699188655808689759/mda-pk3fyap9swqifck2.mp4
校长谭咏麟,https://vd2.bdstatic.com/mda-pk2hy3j279g1txag/1080p/cae_h264/1699144704714149222/mda-pk2hy3j279g1txag.mp4
台湾歌手任贤齐,https://vd2.bdstatic.com/mda-pk218iztk2svc1ef/1080p/cae_h264/1699061650530228247/mda-pk218iztk2svc1ef.mp4
短发歌手梁咏琪,https://vd2.bdstatic.com/mda-pk0i3ne0iajinp9x/1080p/cae_h264/1698888105262004319/mda-pk0i3ne0iajinp9x.mp4华语流行歌手梁静茹,https://vd4.bdstatic.com/mda-pjvj2hnsrcas0rd4/1080p/cae_h264/1698714657625462903/mda-pjvj2hnsrcas0rd4.mp
